[13:35:03:687]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司第三届监事会第五次会议决议公告/2014-12-25
[13:55:20:234]  upload _StockDocIdxLst.dat
[13:55:20:437]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:55:20:453]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:55:53:718]  doclst.dat cls ok.
[13:55:53:718]  处理错误公告...601398,广州汽车集团股份有限公司第三届董事会第51次会议决议公告/2014-12-20
[13:55:56:890]  upload _601398_DOCLST.dat
[13:55:57:046]  ftp ok._601398_DOCLST.dat.192.168.88.183:21
[13:55:57:046]  upload _StockDocIdxLst.dat
[13:55:57:250]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:55:57:250]  Z:\CBData\Document\StockDocIdxLst\601398_DOCLST.dat cls ok.
[13:56:23:109]  doclst.dat cls ok.
[13:56:23:109]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司关于召开2014年第五次临时股东大会提示性公告/2014-12-22
[13:56:23:671]  upload _600023_DOCLST.dat
[13:56:23:796]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[13:56:23:796]  upload _StockDocIdxLst.dat
[13:56:24:000]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:56:24:015]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[13:56:30:656]  doclst.dat cls ok.
[13:56:30:656]  处理错误公告...600267,格力地产股份有限公司公开发行可转换公司债券募集说明书摘要/2014-12-23
[13:56:35:453]  upload _600267_DOCLST.dat
[13:56:35:562]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:56:35:578]  upload _StockDocIdxLst.dat
[13:56:35:765]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:56:35:781]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:57:08:875]  doclst.dat cls ok.
[13:57:09:312]  处理错误公告...600267,格力地产股份有限公司公开发行可转换公司债券募集说明书/2014-12-23
[13:57:14:281]  upload _600267_DOCLST.dat
[13:57:14:500]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:57:14:500]  upload _StockDocIdxLst.dat
[13:57:14:703]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:57:14:718]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:57:47:718]  doclst.dat cls ok.
[13:57:47:734]  处理错误公告...600267,格力地产股份有限公司公开发行可转换公司债券发行公告/2014-12-23
[13:57:52:625]  upload _600267_DOCLST.dat
[13:57:52:812]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[13:57:52:828]  upload _StockDocIdxLst.dat
[13:57:53:015]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:57:53:031]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[13:58:30:109]  doclst.dat cls ok.
[13:58:30:109]  处理错误公告...002462,淄博齐翔腾达化工股份有限公司关于获得政策扶持资金的公告/2014-12-23
[13:58:30:671]  upload _002462_DOCLST.dat
[13:58:30:843]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[13:58:30:843]  upload _StockDocIdxLst.dat
[13:58:31:046]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:58:31:062]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[13:58:36:656]  doclst.dat cls ok.
[13:58:36:656]  处理错误公告...002462,淄博齐翔腾达化工股份有限公司关于甲乙酮项目扩产的公告/2014-12-19
[13:58:37:046]  upload _002462_DOCLST.dat
[13:58:37:171]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[13:58:37:171]  upload _StockDocIdxLst.dat
[13:58:37:390]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:58:37:406]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[13:58:42:953]  doclst.dat cls ok.
[13:58:42:968]  处理错误公告...600067,中国民生银行股份有限公司关于股东权益变动及第一大股东变更的提示性公告/2014-12-19
[13:58:50:640]  upload _600067_DOCLST.dat
[13:58:50:765]  ftp ok._600067_DOCLST.dat.192.168.88.183:21
[13:58:50:765]  upload _StockDocIdxLst.dat
[13:58:50:953]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:58:50:968]  Z:\CBData\Document\StockDocIdxLst\600067_DOCLST.dat cls ok.
[13:59:36:750]  doclst.dat cls ok.
[13:59:36:750]  处理错误公告...601988,吉视传媒股份有限公司第二届董事会第十四次会议决议公告/2014-12-19
[13:59:39:343]  upload _601988_DOCLST.dat
[13:59:39:640]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[13:59:39:640]  upload _StockDocIdxLst.dat
[13:59:39:937]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[13:59:39:953]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[14:00:02:578]  doclst.dat cls ok.
[14:00:02:593]  处理错误公告...600267,中国民生银行股份有限公司关于股东权益变动及第一大股东变更的提示性公告/2014-12-19
[14:00:08:062]  upload _600267_DOCLST.dat
[14:00:08:218]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[14:00:08:218]  upload _StockDocIdxLst.dat
[14:00:08:406]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:00:08:421]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[14:00:43:375]  doclst.dat cls ok.
[14:00:43:375]  处理错误公告...601988,吉视传媒股份有限公司子公司管理办法/2014-12-19
[14:00:46:578]  upload _601988_DOCLST.dat
[14:00:46:734]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[14:00:46:734]  upload _StockDocIdxLst.dat
[14:00:46:937]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:00:46:953]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[14:01:10:953]  doclst.dat cls ok.
[14:01:10:953]  处理错误公告...601988,吉视传媒股份有限公司第二届监事会第十一次会议决议公告/2014-12-19
[14:01:13:750]  upload _601988_DOCLST.dat
[14:01:13:890]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[14:01:13:890]  upload _StockDocIdxLst.dat
[14:01:14:093]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:01:14:109]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[14:01:36:671]  doclst.dat cls ok.
[14:01:36:671]  处理错误公告...601988,吉视传媒股份有限公司关于使用可转债募集资金置换先期已投入到募投项目自筹资金的公告/2014-12-19
[14:01:39:156]  upload _601988_DOCLST.dat
[14:01:39:343]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[14:01:39:343]  upload _StockDocIdxLst.dat
[14:01:39:546]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:01:39:562]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[14:02:01:031]  doclst.dat cls ok.
[14:02:01:031]  处理错误公告...002241,徐工集团工程机械股份有限公司2011年公司债券(第一期)2014年付息公告/2014-12-19
[14:02:01:484]  upload _002241_DOCLST.dat
[14:02:01:671]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:02:01:671]  upload _StockDocIdxLst.dat
[14:02:01:875]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:02:01:875]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:02:08:093]  doclst.dat cls ok.
[14:02:08:093]  处理错误公告...601988,吉视传媒股份有限公司关于会计政策变更公告/2014-12-19
[14:02:10:609]  upload _601988_DOCLST.dat
[14:02:10:718]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[14:02:10:718]  upload _StockDocIdxLst.dat
[14:02:10:921]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:02:10:937]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[14:02:32:406]  doclst.dat cls ok.
[14:02:32:421]  处理错误公告...600037,中国民生银行股份有限公司详式权益变动报告书/2014-12-20
[14:02:36:546]  upload _600037_DOCLST.dat
[14:02:36:671]  ftp ok._600037_DOCLST.dat.192.168.88.183:21
[14:02:36:671]  upload _StockDocIdxLst.dat
[14:02:36:875]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:02:36:890]  Z:\CBData\Document\StockDocIdxLst\600037_DOCLST.dat cls ok.
[14:03:06:968]  doclst.dat cls ok.
[14:03:06:968]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司第三届董事会第二十五次会议决议公告/2014-12-16
[14:03:07:515]  upload _600023_DOCLST.dat
[14:03:07:656]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:03:07:656]  upload _StockDocIdxLst.dat
[14:03:07:859]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:03:07:859]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:03:14:656]  doclst.dat cls ok.
[14:03:14:687]  处理错误公告...002241,徐工集团工程机械股份有限公司徐工集团工程机械有限公司拟转让其持有徐州美驰车桥有限公司40%股权项目资产评估报告书/2014-12-16
[14:03:15:187]  upload _002241_DOCLST.dat
[14:03:15:296]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:03:15:296]  upload _StockDocIdxLst.dat
[14:03:15:500]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:03:15:515]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:03:22:140]  doclst.dat cls ok.
[14:03:22:171]  处理错误公告...002241,徐工集团工程机械股份有限公司公司章程（2014年12月）/2014-12-16
[14:03:22:687]  upload _002241_DOCLST.dat
[14:03:22:843]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:03:22:843]  upload _StockDocIdxLst.dat
[14:03:23:046]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:03:23:062]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:03:29:281]  doclst.dat cls ok.
[14:03:29:296]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司独立董事关于相关担保事项的独立意见/2014-12-17
[14:03:29:796]  upload _600023_DOCLST.dat
[14:03:30:078]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:03:30:078]  upload _StockDocIdxLst.dat
[14:03:30:281]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:03:30:296]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:03:36:828]  doclst.dat cls ok.
[14:03:36:828]  处理错误公告...600023,北京蓝色光标品牌管理顾问股份有限公司对外担保的公告/2014-12-17
[14:03:37:296]  upload _600023_DOCLST.dat
[14:03:37:421]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:03:37:421]  upload _StockDocIdxLst.dat
[14:03:37:625]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:03:37:640]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:03:44:187]  doclst.dat cls ok.
[14:03:44:187]  处理错误公告...601988,上海电气集团股份有限公司关于公司股东减持本公司股份的公告/2014-12-17
[14:03:46:734]  upload _601988_DOCLST.dat
[14:03:46:875]  ftp ok._601988_DOCLST.dat.192.168.88.183:21
[14:03:46:890]  upload _StockDocIdxLst.dat
[14:03:47:078]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:03:47:093]  Z:\CBData\Document\StockDocIdxLst\601988_DOCLST.dat cls ok.
[14:04:08:750]  doclst.dat cls ok.
[14:04:08:750]  处理错误公告...002241,招商局地产控股股份有限公司关于中期票据获准注册的公告/2014-12-17
[14:04:09:187]  upload _002241_DOCLST.dat
[14:04:09:312]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:04:09:312]  upload _StockDocIdxLst.dat
[14:04:09:515]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:04:09:531]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:04:15:625]  doclst.dat cls ok.
[14:04:15:625]  处理错误公告...002241,深圳市机场股份有限公司关于AB航站楼商业转型项目公开招商情况的公告/2014-12-18
[14:04:16:109]  upload _002241_DOCLST.dat
[14:04:16:250]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:04:16:250]  upload _StockDocIdxLst.dat
[14:04:16:453]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:04:16:468]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:04:22:671]  doclst.dat cls ok.
[14:04:22:671]  处理错误公告...002462,江苏通鼎光电股份有限公司北京市中咨律师事务所关于公司实施员工持股计划的法律意见书/2014-12-18
[14:04:23:000]  upload _002462_DOCLST.dat
[14:04:23:187]  ftp ok._002462_DOCLST.dat.192.168.88.183:21
[14:04:23:187]  upload _StockDocIdxLst.dat
[14:04:23:390]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:04:23:406]  Z:\CBData\Document\StockDocIdxLst\002462_DOCLST.dat cls ok.
[14:04:28:390]  doclst.dat cls ok.
[14:04:28:390]  处理错误公告...600037,中国民生银行股份有限公司关于股东权益变动及第一大股东变更的提示性公告/2014-12-19
[14:04:32:437]  upload _600037_DOCLST.dat
[14:04:32:546]  ftp ok._600037_DOCLST.dat.192.168.88.183:21
[14:04:32:546]  upload _StockDocIdxLst.dat
[14:04:32:750]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:04:32:765]  Z:\CBData\Document\StockDocIdxLst\600037_DOCLST.dat cls ok.
[14:05:03:046]  doclst.dat cls ok.
[14:05:03:046]  处理错误公告...002241,徐工集团工程机械股份有限公司徐工集团工程机械有限公司拟转让其持有徐州赫思曼电子有限公司50%股权项目资产评估报告书/2014-12-16
[14:05:03:562]  upload _002241_DOCLST.dat
[14:05:03:734]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:05:03:734]  upload _StockDocIdxLst.dat
[14:05:03:937]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:05:03:937]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:05:10:203]  doclst.dat cls ok.
[14:05:10:265]  处理错误公告...002241,徐工集团工程机械股份有限公司北京大成（南京）律师事务所关于公司与徐工集团工程机械有限公司股权收购暨关联交易的法律意见书/2014-12-16
[14:05:10:734]  upload _002241_DOCLST.dat
[14:05:10:875]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:05:10:875]  upload _StockDocIdxLst.dat
[14:05:11:078]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:05:11:093]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:05:17:281]  doclst.dat cls ok.
[14:05:17:359]  处理错误公告...002241,徐工集团工程机械股份有限公司徐州徐工基础工程机械有限公司审计报告/2014-12-16
[14:05:17:828]  upload _002241_DOCLST.dat
[14:05:18:015]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:05:18:015]  upload _StockDocIdxLst.dat
[14:05:18:218]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:05:18:218]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:05:24:328]  doclst.dat cls ok.
[14:05:24:343]  处理错误公告...002241,徐工集团工程机械股份有限公司华泰联合证券有限责任公司关于公司收购股权项目暨关联交易之独立财务顾问报告/2014-12-16
[14:05:24:796]  upload _002241_DOCLST.dat
[14:05:24:953]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:05:24:953]  upload _StockDocIdxLst.dat
[14:05:25:453]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:05:25:468]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:05:31:921]  doclst.dat cls ok.
[14:05:31:921]  处理错误公告...002241,徐工集团工程机械股份有限公司关于召开2014年第三次临时股东大会的通知/2014-12-16
[14:05:32:437]  upload _002241_DOCLST.dat
[14:05:32:593]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:05:32:609]  upload _StockDocIdxLst.dat
[14:05:32:796]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:05:32:812]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:05:38:953]  doclst.dat cls ok.
[14:05:38:984]  处理错误公告...002241,徐工集团工程机械股份有限公司关于为下属公司提供担保的公告/2014-12-16
[14:05:39:484]  upload _002241_DOCLST.dat
[14:05:39:640]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:05:39:640]  upload _StockDocIdxLst.dat
[14:05:39:843]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:05:39:843]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:05:46:031]  doclst.dat cls ok.
[14:05:46:031]  处理错误公告...002241,徐工集团工程机械股份有限公司关于购买徐工集团工程机械有限公司所持徐州徐工基础工程机械有限公司等四家公司全部股权暨关联交易的公告/2014-12-16
[14:05:46:640]  upload _002241_DOCLST.dat
[14:05:46:781]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:05:46:781]  upload _StockDocIdxLst.dat
[14:05:46:984]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:05:47:000]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:05:53:140]  doclst.dat cls ok.
[14:05:53:140]  处理错误公告...600023,江苏双星彩塑新材料股份有限公司第二届董事会第十三次会议决议公告/2014-12-16
[14:05:53:687]  upload _600023_DOCLST.dat
[14:05:53:828]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:05:53:828]  upload _StockDocIdxLst.dat
[14:05:54:015]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:05:54:031]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:06:00:671]  doclst.dat cls ok.
[14:06:00:687]  处理错误公告...600023,江苏双星彩塑新材料股份有限公司第二届监事会第十二次会议决议公告/2014-12-16
[14:06:01:203]  upload _600023_DOCLST.dat
[14:06:01:359]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:06:01:359]  upload _StockDocIdxLst.dat
[14:06:01:562]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:06:01:578]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:06:08:265]  doclst.dat cls ok.
[14:06:08:265]  处理错误公告...600023,江苏双星彩塑新材料股份有限公司独立董事关于第二届董事会第十三次会议相关事项的独立意见/2014-12-16
[14:06:08:781]  upload _600023_DOCLST.dat
[14:06:08:906]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:06:08:906]  upload _StockDocIdxLst.dat
[14:06:09:109]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:06:09:125]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:06:15:656]  doclst.dat cls ok.
[14:06:15:656]  处理错误公告...600023,江苏双星彩塑新材料股份有限公司关于将部分闲置募集资金转为定期存款方式存放的公告/2014-12-16
[14:06:16:156]  upload _600023_DOCLST.dat
[14:06:16:359]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:06:16:359]  upload _StockDocIdxLst.dat
[14:06:16:546]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:06:16:562]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:06:23:109]  doclst.dat cls ok.
[14:06:23:109]  处理错误公告...600023,江苏双星彩塑新材料股份有限公司关于取得实用新型专利证书的公告/2014-12-16
[14:06:23:640]  upload _600023_DOCLST.dat
[14:06:23:796]  ftp ok._600023_DOCLST.dat.192.168.88.183:21
[14:06:23:796]  upload _StockDocIdxLst.dat
[14:06:24:000]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:06:24:015]  Z:\CBData\Document\StockDocIdxLst\600023_DOCLST.dat cls ok.
[14:06:30:656]  doclst.dat cls ok.
[14:06:30:656]  处理错误公告...002241,徐工集团工程机械股份有限公司独立董事提名人声明/2014-12-16
[14:06:31:125]  upload _002241_DOCLST.dat
[14:06:31:234]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:06:31:250]  upload _StockDocIdxLst.dat
[14:06:31:437]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:06:31:453]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:06:37:578]  doclst.dat cls ok.
[14:06:37:593]  处理错误公告...002241,徐工集团工程机械股份有限公司第七届董事会第十八次会议(临时)决议公告/2014-12-16
[14:06:38:093]  upload _002241_DOCLST.dat
[14:06:38:281]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:06:38:281]  upload _StockDocIdxLst.dat
[14:06:38:484]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:06:38:515]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:06:44:703]  doclst.dat cls ok.
[14:06:44:703]  处理错误公告...002241,徐工集团工程机械股份有限公司第七届监事会第十三次会议(临时)决议公告/2014-12-16
[14:06:45:140]  upload _002241_DOCLST.dat
[14:06:45:328]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:06:45:328]  upload _StockDocIdxLst.dat
[14:06:45:515]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:06:45:531]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:06:51:906]  doclst.dat cls ok.
[14:06:51:953]  处理错误公告...002241,徐工集团工程机械股份有限公司徐州派特控制技术有限公司审计报告/2014-12-16
[14:06:52:421]  upload _002241_DOCLST.dat
[14:06:52:562]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:06:52:562]  upload _StockDocIdxLst.dat
[14:06:52:765]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:06:52:781]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:06:58:796]  doclst.dat cls ok.
[14:06:58:937]  处理错误公告...002241,徐工集团工程机械股份有限公司徐州赫思曼电子有限公司审计报告/2014-12-16
[14:06:59:375]  upload _002241_DOCLST.dat
[14:06:59:515]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:06:59:515]  upload _StockDocIdxLst.dat
[14:06:59:703]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:06:59:718]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:07:05:734]  doclst.dat cls ok.
[14:07:05:796]  处理错误公告...002241,徐工集团工程机械股份有限公司徐州美驰车桥有限公司审计报告/2014-12-16
[14:07:06:250]  upload _002241_DOCLST.dat
[14:07:06:453]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:07:06:453]  upload _StockDocIdxLst.dat
[14:07:06:640]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:07:06:656]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:07:12:765]  doclst.dat cls ok.
[14:07:12:796]  处理错误公告...002241,徐工集团工程机械股份有限公司徐工集团工程机械有限公司拟转让徐州徐工基础工程机械有限公司股权项目资产评估报告书/2014-12-16
[14:07:13:265]  upload _002241_DOCLST.dat
[14:07:13:390]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:07:13:390]  upload _StockDocIdxLst.dat
[14:07:13:593]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:07:13:593]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:07:19:578]  doclst.dat cls ok.
[14:07:19:625]  处理错误公告...002241,徐工集团工程机械股份有限公司徐工集团工程机械有限公司拟转让其持有的徐州派特控制技术有限公司50%股权项目资产评估报告书/2014-12-16
[14:07:20:078]  upload _002241_DOCLST.dat
[14:07:20:218]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:07:20:234]  upload _StockDocIdxLst.dat
[14:07:20:421]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:07:20:437]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:07:26:546]  doclst.dat cls ok.
[14:07:26:562]  处理错误公告...002241,招商局地产控股股份有限公司2014年11月销售及近期购得土地使用权情况简报/2014-12-10
[14:07:27:031]  upload _002241_DOCLST.dat
[14:07:27:171]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:07:27:171]  upload _StockDocIdxLst.dat
[14:07:27:375]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:07:27:375]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:07:33:531]  doclst.dat cls ok.
[14:07:33:531]  处理错误公告...002241,深圳市机场股份有限公司2014年11月份生产经营快报/2014-12-11
[14:07:34:031]  upload _002241_DOCLST.dat
[14:07:34:203]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:07:34:218]  upload _StockDocIdxLst.dat
[14:07:34:406]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:07:34:421]  Z:\CBData\Document\StockDocIdxLst\002241_DOCLST.dat cls ok.
[14:07:40:703]  doclst.dat cls ok.
[14:07:40:703]  处理错误公告...601398,广州汽车集团股份有限公司第三届董事会第50次会议决议公告/2014-12-12
[14:07:44:296]  upload _601398_DOCLST.dat
[14:07:44:468]  ftp ok._601398_DOCLST.dat.192.168.88.183:21
[14:07:44:468]  upload _StockDocIdxLst.dat
[14:07:44:671]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:07:44:671]  Z:\CBData\Document\StockDocIdxLst\601398_DOCLST.dat cls ok.
[14:08:10:171]  doclst.dat cls ok.
[14:08:10:171]  处理错误公告...601398,广州汽车集团股份有限公司独立董事关于广汽商贸收购丽新公司股权的独立意见/2014-12-12
[14:08:13:109]  upload _601398_DOCLST.dat
[14:08:13:234]  ftp ok._601398_DOCLST.dat.192.168.88.183:21
[14:08:13:234]  upload _StockDocIdxLst.dat
[14:08:13:437]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:08:13:437]  Z:\CBData\Document\StockDocIdxLst\601398_DOCLST.dat cls ok.
[14:08:39:156]  doclst.dat cls ok.
[14:08:39:156]  处理错误公告...601398,广州汽车集团股份有限公司关于全资子公司广汽商贸收购丽新公司股权暨关联交易公告/2014-12-12
[14:08:42:265]  upload _601398_DOCLST.dat
[14:08:42:406]  ftp ok._601398_DOCLST.dat.192.168.88.183:21
[14:08:42:406]  upload _StockDocIdxLst.dat
[14:08:42:609]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:08:42:609]  Z:\CBData\Document\StockDocIdxLst\601398_DOCLST.dat cls ok.
[14:09:07:937]  doclst.dat cls ok.
[14:09:07:937]  处理错误公告...600267,格力地产股份有限公司关于公开发行可转换公司债券获得核准的公告/2014-12-12
[14:09:12:437]  upload _600267_DOCLST.dat
[14:09:12:578]  ftp ok._600267_DOCLST.dat.192.168.88.183:21
[14:09:12:578]  upload _StockDocIdxLst.dat
[14:09:12:781]  ftp ok._StockDocIdxLst.dat.192.168.88.183:21
[14:09:12:781]  Z:\CBData\Document\StockDocIdxLst\600267_DOCLST.dat cls ok.
[14:09:45:875]  doclst.dat cls ok.
[14:09:45:890]  处理错误公告...002241,招商局地产控股股份有限公司关于股票期权首次授予计划登记完成的公告/2014-12-13
[14:09:46:359]  upload _002241_DOCLST.dat
[14:09:46:468]  ftp ok._002241_DOCLST.dat.192.168.88.183:21
[14:09:46:468]  upload _StockDocIdxLst.dat
